"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Vi el juego con Tenoch. Ánimo. Todavía tenemos oportunidad y ""esto no se acaba hasta que se acaba"". Además, mañana… https://t.co/nE47grKJmm",FALSE,21441,NA,2022-11-26 22:45:55,TRUE,NA,"1596636397317726208",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lopezobrador_",4063,FALSE,FALSE,NA,NA
"2","Lamento el fallecimiento de Héctor Bonilla, gran actor, honesto y siempre con firmes convicciones. Abrazo a Sofía,… https://t.co/FDu2DJm6Vb",FALSE,21557,NA,2022-11-25 23:35:08,TRUE,NA,"1596286392895930368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lopezobrador_",5201,FALSE,FALSE,NA,NA
"3","Si tuviese que resumir en una palabra cómo es la relación entre nuestros pueblos y con el gobierno del presidente d… https://t.co/Y3z77zisUZ",FALSE,16744,NA,2022-11-25 20:11:44,TRUE,NA,"1596235204636516352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lopezobrador_",4241,FALSE,FALSE,NA,NA
"4","Ceremonia de bienvenida al presidente de la República de Colombia, Gustavo Petro Urrego https://t.co/IyulOx4aLk",FALSE,3946,NA,2022-11-25 15:25:27,FALSE,NA,"1596163162474426372",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","lopezobrador_",1335,FALSE,FALSE,NA,NA
"5","En tiempos de cambio, la acción es convicción. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/7ybhPjDu9x",FALSE,4440,NA,2022-11-25 12:59:35,FALSE,NA,"1596126452402954240",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","lopezobrador_",1618,FALSE,FALSE,NA,NA
"6","Expreso mis condolencias a familiares y amigos de Don Luis Echeverría Álvarez, Presidente de los Estados Unidos Mex… https://t.co/TIZvntSX9i",FALSE,8942,NA,2022-07-09 21:51:12,TRUE,NA,"1545888325025665024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EPN",686,FALSE,FALSE,NA,NA
"7","demostrar la legalidad del mismo, dentro de los procedimientos  legales.
Expreso mi confianza en las Instituciones… https://t.co/XqjmBYjFUc",FALSE,15632,"EPN",2022-07-07 18:26:18,TRUE,"1545111984265314304","1545111985527726086","2897441","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EPN",1607,FALSE,FALSE,NA,NA
"8","En relación con la denuncia presentada en mi contra por la Unidad de Inteligencia Financiera,  estoy cierto que ant… https://t.co/DVJzcktqCn",FALSE,37252,NA,2022-07-07 18:26:18,TRUE,NA,"1545111984265314304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EPN",5509,FALSE,FALSE,NA,NA
"9","Lamento  profundamente el fallecimiento de Don Alberto Baillères González, destacado empresario, promotor de la edu… https://t.co/qwJ5XGA0TD",FALSE,15715,NA,2022-02-04 16:32:02,TRUE,NA,"1489637886387490824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EPN",1292,FALSE,FALSE,NA,NA
"10","Lamento profundamente el fallecimiento de René @JuarezCisneros,destacado político y servidor público que dedicó su… https://t.co/m9fWqz3Hxr",FALSE,9170,NA,2021-07-26 15:31:14,TRUE,NA,"1419681726230458373",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EPN",1044,FALSE,FALSE,NA,NA
"11","Presentación del Programa Estratégico 'Modelo de Atención de Salud para el Bienestar MAS-Bienestar' https://t.co/sN4nT8Fvin",FALSE,411,NA,2022-11-24 18:37:45,FALSE,NA,"1595849165715578885",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","HLGatell",137,FALSE,FALSE,NA,NA
"12","Primera Reunión Nacional de Salud Pública, desde Acapulco, Guerrero https://t.co/kaEbuSIvrX",FALSE,372,NA,2022-11-24 16:06:09,FALSE,NA,"1595811016113201152",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","HLGatell",123,FALSE,FALSE,NA,NA
"13","Reconocen al etiquetado frontal como una política pública necesaria y efectiva porque contribuye a que las compañía… https://t.co/Wa6rW2cRY2",FALSE,811,"HLGatell",2022-11-09 22:32:37,TRUE,"1590472444351246337","1590472453943615488","1154180084078501889","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HLGatell",312,FALSE,FALSE,NA,NA
"14","La comunidad internacional experta en nutrición respalda y felicita a México por el etiquetado de alerta en aliment… https://t.co/z1vRzhQJ2y",FALSE,5303,NA,2022-11-09 22:32:34,TRUE,NA,"1590472444351246337",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HLGatell",1987,FALSE,FALSE,NA,NA
